CER,Fecha
10.6234,1/10/2018
10.637,2/10/2018
10.6506,3/10/2018
10.6642,4/10/2018
10.6778,5/10/2018
10.6914,6/10/2018
10.705,7/10/2018
10.7187,8/10/2018
10.7324,9/10/2018
10.7461,10/10/2018
10.7598,11/10/2018
10.7735,12/10/2018
10.7873,13/10/2018
10.801,14/10/2018
10.8148,15/10/2018
10.8368,16/10/2018
10.8588,17/10/2018
10.8809,18/10/2018
10.903,19/10/2018
10.9252,20/10/2018
10.9474,21/10/2018
10.9697,22/10/2018
10.992,23/10/2018
11.0144,24/10/2018
11.0368,25/10/2018
11.0592,26/10/2018
11.0817,27/10/2018
11.1042,28/10/2018
11.1268,29/10/2018
11.1494,30/10/2018
11.1721,31/10/2018
11.1948,1/11/2018
11.2176,2/11/2018
11.2404,3/11/2018
11.2633,4/11/2018
11.2862,5/11/2018
11.3091,6/11/2018
11.3321,7/11/2018
11.3551,8/11/2018
11.3782,9/11/2018
11.4014,10/11/2018
11.4246,11/11/2018
11.4478,12/11/2018
11.4711,13/11/2018
11.4944,14/11/2018
11.5178,15/11/2018
11.538,16/11/2018
11.5582,17/11/2018
11.5785,18/11/2018
11.5988,19/11/2018
11.6192,20/11/2018
11.6396,21/11/2018
11.66,22/11/2018
11.6804,23/11/2018
11.7009,24/11/2018
11.7215,25/11/2018
11.742,26/11/2018
11.7626,27/11/2018
11.7833,28/11/2018
11.804,29/11/2018
11.8247,30/11/2018
11.8454,1/12/2018
11.8662,2/12/2018
11.887,3/12/2018
11.9079,4/12/2018
11.9288,5/12/2018
11.9497,6/12/2018
11.9707,7/12/2018
11.9917,8/12/2018
12.0127,9/12/2018
12.0338,10/12/2018
12.0549,11/12/2018
12.0761,12/12/2018
12.0972,13/12/2018
12.1185,14/12/2018
12.1397,15/12/2018
12.1521,16/12/2018
12.1644,17/12/2018
12.1768,18/12/2018
12.1892,19/12/2018
12.2016,20/12/2018
12.214,21/12/2018
12.2264,22/12/2018
12.2388,23/12/2018
12.2513,24/12/2018
12.2637,25/12/2018
12.2762,26/12/2018
12.2887,27/12/2018
12.3012,28/12/2018
12.3137,29/12/2018
12.3262,30/12/2018
12.3387,31/12/2018
12.3512,1/1/2019
12.3638,2/1/2019
12.3764,3/1/2019
12.389,4/1/2019
12.4016,5/1/2019
12.4142,6/1/2019
12.4268,7/1/2019
12.4394,8/1/2019
12.4521,9/1/2019
12.4647,10/1/2019
12.4774,11/1/2019
12.4901,12/1/2019
12.5028,13/01/2019
12.5155,14/01/2019
12.5282,15/01/2019
12.5386,16/01/2019
12.549,17/01/2019
12.5594,18/01/2019
12.5698,19/01/2019
12.5802,20/01/2019
12.5906,21/01/2019
12.601,22/01/2019
12.6115,23/01/2019
12.6219,24/01/2019
12.6324,25/01/2019
12.6428,26/01/2019
12.6533,27/01/2019
12.6638,28/01/2019
12.6743,29/01/2019
12.6848,30/01/2019
12.6953,31/01/2019
12.7058,1/2/2019
12.7163,2/2/2019
12.7269,3/2/2019
12.7374,4/2/2019
12.7479,5/2/2019
12.7585,6/2/2019
12.7691,7/2/2019
12.7797,8/2/2019
12.7902,9/2/2019
12.8008,10/2/2019
12.8114,11/2/2019
12.822,12/2/2019
12.8327,13/02/2019
12.8433,14/02/2019
12.8539,15/02/2019
12.8671,16/02/2019
12.8802,17/02/2019
12.8934,18/02/2019
12.9065,19/02/2019
12.9197,20/02/2019
12.9329,21/02/2019
12.9461,22/02/2019
12.9594,23/02/2019
12.9726,24/02/2019
12.9858,25/02/2019
12.9991,26/02/2019
13.0124,27/02/2019
13.0257,28/02/2019
13.039,1/3/2019
13.0523,2/3/2019
13.0656,3/3/2019
13.079,4/3/2019
13.0923,5/3/2019
13.1057,6/3/2019
13.1191,7/3/2019
13.1325,8/3/2019
13.1459,9/3/2019
13.1594,10/3/2019
13.1728,11/3/2019
13.1863,12/3/2019
13.1997,13/03/2019
13.2132,14/03/2019
13.2267,15/03/2019
13.2426,16/03/2019
13.2586,17/03/2019
13.2745,18/03/2019
13.2905,19/03/2019
13.3065,20/03/2019
13.3225,21/03/2019
13.3386,22/03/2019
13.3546,23/03/2019
13.3707,24/03/2019
13.3868,25/03/2019
13.4029,26/03/2019
13.419,27/03/2019
13.4352,28/03/2019
13.4514,29/03/2019
13.4676,30/03/2019
13.4838,31/03/2019
13.5,1/4/2019
13.5163,2/4/2019
13.5325,3/4/2019
13.5488,4/4/2019
13.5651,5/4/2019
13.5815,6/4/2019
13.5978,7/4/2019
13.6142,8/4/2019
13.6306,9/4/2019
13.647,10/4/2019
13.6634,11/4/2019
13.6799,12/4/2019
13.6963,13/04/2019
13.7128,14/04/2019
13.7293,15/04/2019
13.7504,16/04/2019
13.7714,17/04/2019
13.7925,18/04/2019
13.8137,19/04/2019
13.8348,20/04/2019
13.856,21/04/2019
13.8772,22/04/2019
13.8985,23/04/2019
13.9198,24/04/2019
13.9411,25/04/2019
13.9625,26/04/2019
13.9839,27/04/2019
14.0053,28/04/2019
14.0268,29/04/2019
14.0483,30/04/2019
14.0698,1/5/2019
14.0913,2/5/2019
14.1129,3/5/2019
14.1345,4/5/2019
14.1562,5/5/2019
14.1779,6/5/2019
14.1996,7/5/2019
14.2214,8/5/2019
14.2432,9/5/2019
14.265,10/5/2019
14.2868,11/5/2019
14.3087,12/5/2019
14.3306,13/05/2019
14.3526,14/05/2019
14.3746,15/05/2019
14.3901,16/05/2019
14.4056,17/05/2019
14.4212,18/05/2019
14.4367,19/05/2019
14.4523,20/05/2019
14.4679,21/05/2019
14.4835,22/05/2019
14.4992,23/05/2019
14.5148,24/05/2019
14.5305,25/05/2019
14.5461,26/05/2019
14.5618,27/05/2019
14.5776,28/05/2019
14.5933,29/05/2019
14.609,30/05/2019
14.6248,31/05/2019
14.6406,1/6/2019
14.6564,2/6/2019
14.6722,3/6/2019
14.688,4/6/2019
14.7039,5/6/2019
14.7198,6/6/2019
14.7356,7/6/2019
14.7515,8/6/2019
14.7675,9/6/2019
14.7834,10/6/2019
14.7993,11/6/2019
14.8153,12/6/2019
14.8313,13/06/2019
14.8473,14/06/2019
14.8633,15/06/2019
14.8785,16/06/2019
14.8936,17/06/2019
14.9088,18/06/2019
14.924,19/06/2019
14.9392,20/06/2019
14.9544,21/06/2019
14.9696,22/06/2019
14.9848,23/06/2019
15.0001,24/06/2019
15.0154,25/06/2019
15.0306,26/06/2019
15.0459,27/06/2019
15.0613,28/06/2019
15.0766,29/06/2019
15.092,30/06/2019
15.1073,1/7/2019
15.1227,2/7/2019
15.1381,3/7/2019
15.1535,4/7/2019
15.1689,5/7/2019
15.1844,6/7/2019
15.1998,7/7/2019
15.2153,8/7/2019
15.2308,9/7/2019
15.2463,10/7/2019
15.2618,11/7/2019
15.2774,12/7/2019
15.2929,13/07/2019
15.3085,14/07/2019
15.3241,15/07/2019
15.3373,16/07/2019
15.3505,17/07/2019
15.3637,18/07/2019
15.3769,19/07/2019
15.3901,20/07/2019
15.4033,21/07/2019
15.4166,22/07/2019
15.4298,23/07/2019
15.4431,24/07/2019
15.4564,25/07/2019
